provincia,region,casos,edad_media,prop_masc
Buenos Aires,Centro,6099,41.6,80.0
Santa Fe,Centro,2054,41.3,78.3
Córdoba,Centro,1454,42.1,78.4
Entre Ríos,Centro,1281,42.1,80.2
Ciudad Autónoma de Buenos Aires,Centro,1260,49.1,69.0
Mendoza,Cuyo,1179,41.3,77.5
Salta,NOA,1077,31.3,78.7
Tucumán,NOA,737,33.6,82.2
Santiago del Estero,NOA,699,36.0,81.0
Chaco,NEA,639,34.4,80.6
Misiones,NEA,538,39.0,78.1
Corrientes,NEA,412,37.9,83.0
Formosa,NEA,384,33.2,75.3
Neuquén,Patagonia,366,35.0,83.3
Chubut,Patagonia,364,40.0,89.3
San Luis,Cuyo,348,39.3,78.7
San Juan,Cuyo,308,37.6,85.4
Jujuy,NOA,285,33.2,74.0
Río Negro,Patagonia,273,38.6,80.2
La Rioja,Cuyo,252,34.8,82.1
Catamarca,NOA,247,34.9,78.1
Santa Cruz,Patagonia,240,38.3,81.7
La Pampa,Centro,237,44.9,81.0
